author,text,likes,time,replies
,"https://neetcode.io/ - Get lifetime access to all current & future courses I create!

Btw this is the question I asked: https://leetcode.com/problems/insert-delete-getrandom-o1/

We actually solved it on the channel here:",117,2024-11-07 23:18:39,0
@Dulandor,"""If there is a problem, just throw a hashmap at it.""
- someone really smart",0,2024-11-07 23:18:39,0
@hariharanm9930,Hey Neetcode! I got the exact same question on my Adobe interview two days ago. Luckily I have been practicing from your collection of questions last few months and never missed any of your videos. I bagged my offer today!! You have literally made this happen for me. Can’t thank you enough for this day!,0,2024-11-07 23:18:39,0
@tusharvyavahare9229,"for python folks, removing an item from set, which isn't in the set , using remove() method will result in error, so use  discard() method.",680,2024-11-07 23:18:39,0
@free-palestine000,"please record more of these google mock interviews!! this questions seem so easy initially, but watching how frypan is talking aloud and saying his thought process makes me realize how the little details he says is actually valuable to you (neet) as the interviewer. now i realize why i failed my interviews so much",0,2024-11-07 23:18:39,0
@nikhil_a01,"I find it funny that when he googled for how to get an arbitrary element from a set, he actually found Java code, and pasted it into his Python solution. And NeetCode is just like ""great"".",0,2024-11-07 23:18:39,0
@BTC500k,"“In your real interviews, do you talk the same way..?” LMAO that is the question I wanted to ask lol",0,2024-11-07 23:18:40,0
@Protocoding,"Things I'm starting to realize every developer needs to do during an interview. Ask tons of questions before even thinking about coding, even if they seem obvious. If the easiest way to think of a question is in one-time complexity odds are they are hinting at the complexity they want in the description of the question.",165,2024-11-07 23:18:40,0
@willboler830,"Gah, what people watching this might be missing out on is the anxiety, and the difficulty between coding and talking through the code.  I sat here correcting him as he went, but also remembered how much I stumbled over trivial stuff.  It's so nerve racking.",143,2024-11-07 23:18:40,0
@SankarshanGhosh,"This is the first time I watched a 40 minute video. Real fun, we want more of these!",99,2024-11-07 23:18:40,0
@dacattilearnsenglish3141,"There were 4 people in my coding interview a few months ago. They were quite friendly with me, though. I had to code C++ in MS Word, which was a pain the neck. Even the easiest questions become hard because of tension. In addition to that, time flies when you are under pressure because you are trying to come up with an answer in your head and trying to word it properly.",30,2024-11-07 23:18:40,0
@Neilblaze,"Been watching Mock interview sessions for a long time, but this is by far the most enjoyable session for my all time :)",98,2024-11-07 23:18:40,0
@krovvidisupraja6822,Thanks so much @NeetCode for doing this. I think this video is pretty realistic (except for the way @FryingPan talks ) compared to the other mock interview videos online! Helped me relate a lot being an interviewee. Looking forward to more such videos!! Keep inspiring with your good work,102,2024-11-07 23:18:40,0
@Suraj-tz3oq,"""i have ocd and this is pissing me off""
My interviewer: get tf out then",73,2024-11-07 23:18:40,0
@rajingale5776,"The collab we waiting for..
The only 2 coding channels i subscribed and getting that collab is awesome..",66,2024-11-07 23:18:40,0
@atharvagupta9355,"This interview made me realize that I can do it too. Thanks, Neetcode",24,2024-11-07 23:18:40,0
@marspark6351,"Theres something neither of you caught. When you remove elements from the set that keeps track of indices and when there's only one element in the set, you are left with an empty set. What you want is to get rid of the map entry altogether. So you should check if it's the last element, and if it is, del that entry.

Also, he mentions changing to a set instead of an array because when he chose the array first, he was using the first index and then he probably thought ""wait.. now if I delete the first index I have to shift all the remaining ones to the left"". Well actually you can simply use the last one instead of the first by using ""pop"", and so you can still use the array",141,2024-11-07 23:18:40,0
@jasonswift7468,This is a really inspring mock interview. Learn a lot from this standard mock interview. Please upload more similar interviews including system design mock interview.,21,2024-11-07 23:18:40,0
@SanjanaSingh-mc6re,Can we get more interviews like this one? It was really helpful. Thanks!!,32,2024-11-07 23:18:40,0
@LeSpaceCroissant,"My man was coding in Python and searched how to get the first element of a set in Java. Genius. And he said it so confidently too: ""I got it sir! I got it!"" 39:25  
It's ""next(iter(mySet))"" by the way. 
And thank you for the video, it was really nice!",7,2024-11-07 23:18:40,0
@tedwoldeselassie5715,"I would implement the Get(bool random, Enum<DataType> input) first, then when implementing the Insert, pass each iteration to Get() with random false. If it returns a value then dont insert it as its duplicate. To get random you jusst need to set random to true. Then the remove is straight forward.",4,2024-11-07 23:18:40,0
@applepine3172,"17:55 When he realized what's the right way, and you see the smile, that's why we love programming.
That's why ones, who think ""I want to be a programmer because it means I get a lot of money"" always fail. Whoever loves this, feel fun when programming is always the one who reaches his goal.",3,2024-11-07 23:18:40,0
@supastazz,"That adding array to value for duplicate values was amazing, always had that doubt but I found the answer today. Thank you for the post",4,2024-11-07 23:18:40,0
@yitongxie6574,the last part you ask 'do you talk like this in real interview?' and then 'nothing' really make me laugh,19,2024-11-07 23:18:40,0
@MrPkmonster,That's cool. I've learned a lot during the Mock test interview. Understand deeply the way the interviewer asked the candidate and the way of thinking to solve the problem.,13,2024-11-07 23:18:40,0
@Ripred0219,The snarky comments while Neetcode remained mute was hilarious,19,2024-11-07 23:18:40,0
@jonTheDon28,None of my coding interviews for internships have been anywhere near this easy,22,2024-11-07 23:18:40,0
@chair_smesh,You mentioned that you don’t actually use Google docs for coding interviews? What do you use a Google IDE? How do you draw out solutions on a Google online interview?,8,2024-11-07 23:18:40,0
@brainesteven6365,"in the 30:28, the follow up question is to allow array to store duplciate. The follow up seems  to be simplified, in general, it may ask while allowing to store duplicate values, what is to make each number to has the same probility in getRandom(say 1,2,2,2,2,2,3), 1 and 2 and 3 has the same 1/3 probility to be returned.",0,2024-11-07 23:18:40,0
@axaxaxaxaxaxax33,"the collab i didnt know i need  frying pan is too funny lol. Great hint from Neetcode too, just enough to nudge him into revelation",31,2024-11-07 23:18:40,0
